epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.47965,1.22018,1.58792,1.27201,0.65795,0.5927,0.67504,0.50568,1.06581,1.01061,1.10913,8.33e-06,8.33e-06,8.33e-06
2,9.69239,1.1988,1.37699,1.22902,0.67438,0.60404,0.67835,0.5098,1.06016,0.99008,1.10422,1.76733e-05,1.76733e-05,1.76733e-05
3,12.9046,1.16658,1.31373,1.25837,0.67903,0.60519,0.68654,0.51772,1.05619,0.97678,1.10027,2.68281e-05,2.68281e-05,2.68281e-05
4,16.135,1.15187,1.28034,1.20141,0.68164,0.60721,0.69602,0.52305,1.05184,0.96315,1.09747,3.57944e-05,3.57944e-05,3.57944e-05
5,19.2431,1.1601,1.22847,1.221,0.7549,0.6141,0.70773,0.53393,1.04259,0.95114,1.09266,4.45722e-05,4.45722e-05,4.45722e-05
6,22.2586,1.17215,1.25638,1.19968,0.76039,0.62675,0.72519,0.54565,1.03777,0.94278,1.08771,5.31615e-05,5.31615e-05,5.31615e-05
7,25.4092,1.12128,1.15413,1.18908,0.73774,0.66242,0.73173,0.54903,1.03374,0.93227,1.08407,6.15623e-05,6.15623e-05,6.15623e-05
8,28.5799,1.1139,1.11784,1.19583,0.77777,0.64988,0.73497,0.55237,1.028,0.90732,1.08067,6.97746e-05,6.97746e-05,6.97746e-05
9,31.7083,1.09653,1.18455,1.18103,0.78361,0.64762,0.74216,0.55551,1.02762,0.88119,1.07665,7.77984e-05,7.77984e-05,7.77984e-05
10,34.7915,1.0906,1.10761,1.19361,0.79336,0.6512,0.74471,0.56386,1.02384,0.86363,1.07144,8.56337e-05,8.56337e-05,8.56337e-05
11,37.8521,1.08535,1.05596,1.16196,0.7677,0.67437,0.75864,0.57778,1.0045,0.8307,1.06239,9.32805e-05,9.32805e-05,9.32805e-05
12,40.9389,1.0803,1.05368,1.13741,0.77508,0.68168,0.76106,0.57531,0.99888,0.81187,1.05842,0.000100739,0.000100739,0.000100739
13,43.7773,1.06872,1.01245,1.15769,0.80361,0.67487,0.76655,0.58078,0.99873,0.79802,1.05199,0.000104863,0.000104863,0.000104863
14,46.7933,1.06196,1.00342,1.16033,0.79418,0.68837,0.76968,0.58867,0.99145,0.78285,1.04637,0.000103685,0.000103685,0.000103685
15,49.5797,1.02638,0.95831,1.13185,0.79374,0.70069,0.78719,0.60223,0.97317,0.76153,1.03777,0.000102507,0.000102507,0.000102507
16,52.3368,1.02186,0.98987,1.13338,0.81459,0.70348,0.79349,0.60827,0.95298,0.74564,1.03025,0.000101329,0.000101329,0.000101329
17,55.1436,1.00536,0.92058,1.12134,0.83306,0.6978,0.79448,0.6189,0.94198,0.73102,1.02801,0.00010015,0.00010015,0.00010015
18,58.084,1.03627,0.95707,1.15265,0.8338,0.70127,0.79072,0.62311,0.9305,0.72152,1.02055,9.89723e-05,9.89723e-05,9.89723e-05
19,61.0237,1.00748,0.90082,1.11628,0.81738,0.70788,0.80426,0.6333,0.92197,0.71242,1.01711,9.77942e-05,9.77942e-05,9.77942e-05
20,63.9439,0.99127,0.90015,1.0991,0.81436,0.72097,0.82172,0.64599,0.91321,0.69883,1.01168,9.66161e-05,9.66161e-05,9.66161e-05
21,66.9649,0.97622,0.8928,1.1219,0.8277,0.72836,0.82508,0.64804,0.90154,0.68556,1.00577,9.5438e-05,9.5438e-05,9.5438e-05
22,70.0671,1.00648,0.88897,1.12864,0.81979,0.74767,0.83096,0.65482,0.89078,0.67747,1.00155,9.42599e-05,9.42599e-05,9.42599e-05
23,73.2184,1.01667,0.94199,1.12981,0.85599,0.73497,0.83009,0.65625,0.88805,0.67548,1.0006,9.30818e-05,9.30818e-05,9.30818e-05
24,76.3603,0.91162,0.82238,1.08527,0.8325,0.74402,0.82922,0.65782,0.89082,0.67261,1.00138,9.19037e-05,9.19037e-05,9.19037e-05
25,79.5131,1.00295,0.89378,1.1207,0.84148,0.74023,0.83489,0.66201,0.8855,0.66067,0.99719,9.07256e-05,9.07256e-05,9.07256e-05
26,82.4912,1.01078,0.88127,1.12479,0.8685,0.7297,0.84247,0.67036,0.87468,0.65075,0.99031,8.95475e-05,8.95475e-05,8.95475e-05
27,85.4403,0.92674,0.83402,1.09157,0.88029,0.73181,0.84535,0.67081,0.86334,0.6438,0.98626,8.83694e-05,8.83694e-05,8.83694e-05
28,88.5112,0.94942,0.85524,1.10443,0.87529,0.74821,0.84965,0.67727,0.85537,0.64094,0.98322,8.71913e-05,8.71913e-05,8.71913e-05
29,91.6664,0.96681,0.81441,1.08656,0.87598,0.75308,0.85145,0.67813,0.84946,0.63948,0.98028,8.60132e-05,8.60132e-05,8.60132e-05
30,94.725,0.93505,0.8279,1.07402,0.81538,0.79089,0.85315,0.68072,0.83987,0.63469,0.97615,8.48351e-05,8.48351e-05,8.48351e-05
