epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.8941,1.16273,1.41118,1.23248,0.69433,0.59151,0.67555,0.5106,1.06114,1.00853,1.10978,8.33e-06,8.33e-06,8.33e-06
2,12.6479,1.21814,1.35698,1.24974,0.69484,0.60592,0.68758,0.52351,1.04638,0.97512,1.0992,1.72609e-05,1.72609e-05,1.72609e-05
3,16.7583,1.18471,1.28157,1.27322,0.71506,0.60879,0.69626,0.53069,1.03922,0.9603,1.09497,2.55636e-05,2.55636e-05,2.55636e-05
4,22.0563,1.17563,1.22851,1.23464,0.7655,0.60437,0.70436,0.53608,1.03532,0.94645,1.09002,3.32379e-05,3.32379e-05,3.32379e-05
5,25.9485,1.18742,1.24037,1.25897,0.77991,0.61189,0.71699,0.53838,1.03362,0.93611,1.08763,4.02839e-05,4.02839e-05,4.02839e-05
6,29.6036,1.19038,1.20964,1.22971,0.77668,0.62926,0.72174,0.54083,1.02973,0.92625,1.08267,4.67016e-05,4.67016e-05,4.67016e-05
7,34.1606,1.10339,1.13107,1.20621,0.77012,0.62939,0.72964,0.54948,1.02644,0.91731,1.08266,5.24909e-05,5.24909e-05,5.24909e-05
8,38.8269,1.13497,1.12467,1.19758,0.72138,0.68323,0.73099,0.55314,1.02261,0.89633,1.07848,5.76519e-05,5.76519e-05,5.76519e-05
9,42.4374,1.09822,1.04345,1.17283,0.79489,0.66094,0.74411,0.56231,1.01385,0.87042,1.07375,6.21846e-05,6.21846e-05,6.21846e-05
10,45.9695,1.05814,1.04996,1.14474,0.81628,0.66665,0.75405,0.57398,1.00646,0.85828,1.06904,6.6089e-05,6.6089e-05,6.6089e-05
11,51.1199,1.06211,1.03418,1.1588,0.82729,0.66784,0.7595,0.57881,0.99502,0.83875,1.06314,6.93651e-05,6.93651e-05,6.93651e-05
12,54.9097,1.09377,1.05829,1.1586,0.87125,0.65705,0.76604,0.58539,0.98446,0.82525,1.05687,7.20129e-05,7.20129e-05,7.20129e-05
13,58.4101,1.07786,1.02941,1.16371,0.86987,0.66721,0.77754,0.59369,0.97725,0.80413,1.05459,7.1876e-05,7.1876e-05,7.1876e-05
14,62.5381,1.01891,0.99297,1.14442,0.85246,0.67878,0.77631,0.59282,0.96709,0.79043,1.04936,6.7949e-05,6.7949e-05,6.7949e-05
15,67.4984,1.04478,0.98074,1.13035,0.83874,0.68474,0.78936,0.59738,0.96105,0.77993,1.04501,6.4022e-05,6.4022e-05,6.4022e-05
16,71.0502,1.08926,1.0334,1.15539,0.83549,0.69329,0.78957,0.60209,0.96172,0.76995,1.04298,6.0095e-05,6.0095e-05,6.0095e-05
17,74.659,1.03569,1.00003,1.14073,0.83469,0.69778,0.79457,0.60686,0.9559,0.7613,1.03915,5.6168e-05,5.6168e-05,5.6168e-05
18,79.1422,1.00438,0.9582,1.10878,0.82925,0.69617,0.79701,0.61556,0.94586,0.74744,1.03341,5.2241e-05,5.2241e-05,5.2241e-05
19,83.4571,1.0295,0.949,1.12235,0.83962,0.70789,0.80062,0.62071,0.93707,0.73715,1.02986,4.8314e-05,4.8314e-05,4.8314e-05
20,87.0148,0.98497,0.93623,1.11289,0.83034,0.70758,0.80125,0.62724,0.92511,0.72763,1.02628,4.4387e-05,4.4387e-05,4.4387e-05
21,94.1364,1.03214,0.98296,1.11632,0.83712,0.70405,0.79973,0.62768,0.91935,0.7198,1.02235,4.046e-05,4.046e-05,4.046e-05
22,98.6591,1.03745,0.96268,1.09468,0.82282,0.70436,0.80262,0.62737,0.92029,0.7223,1.02291,3.6533e-05,3.6533e-05,3.6533e-05
23,102.29,1.01166,0.93715,1.09551,0.82409,0.70311,0.80137,0.62467,0.92179,0.71712,1.02333,3.2606e-05,3.2606e-05,3.2606e-05
24,106.64,1.01179,0.91902,1.08823,0.82116,0.70065,0.79885,0.62183,0.92613,0.71886,1.02621,2.8679e-05,2.8679e-05,2.8679e-05
25,111.336,0.99167,0.89795,1.08613,0.81618,0.70918,0.79778,0.61997,0.92855,0.72001,1.02638,2.4752e-05,2.4752e-05,2.4752e-05
26,114.816,1.00735,0.89555,1.09001,0.80981,0.71487,0.80091,0.62296,0.92642,0.71871,1.02527,2.0825e-05,2.0825e-05,2.0825e-05
27,118.327,0.98712,0.90066,1.08751,0.81092,0.714,0.79807,0.62059,0.92587,0.72081,1.02566,1.6898e-05,1.6898e-05,1.6898e-05
28,123.016,0.97999,0.90566,1.09058,0.80549,0.71423,0.79088,0.61748,0.92431,0.72021,1.02498,1.2971e-05,1.2971e-05,1.2971e-05
29,126.979,0.99455,0.88199,1.07578,0.80901,0.71638,0.79485,0.61995,0.9217,0.71739,1.02325,9.044e-06,9.044e-06,9.044e-06
30,130.522,0.97161,0.88841,1.0895,0.80706,0.71443,0.79213,0.61859,0.91989,0.71856,1.02278,5.117e-06,5.117e-06,5.117e-06
