                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90742,                0.83752,                 1.1767,                0.78119,                0.70795,                0.82274,                0.65083,                0.82557,                0.64267,                 1.0286,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                0.94435,                0.81509,                 1.1802,                0.75216,                0.79357,                0.83554,                0.67601,                0.80964,                0.60621,                 1.0129,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                0.92327,                0.77317,                 1.1451,                0.85432,                0.76818,                0.85199,                0.69102,                0.79882,                0.58355,                  1.004,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                0.92221,                0.71684,                 1.1502,                0.87649,                0.77175,                0.86616,                0.70795,                0.78274,                0.56269,                0.99877,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                0.84441,                0.68514,                  1.097,                0.89719,                0.78431,                0.87831,                0.72171,                0.76639,                0.52854,                0.99341,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                0.89351,                0.70733,                 1.1085,                0.90525,                0.78088,                0.88915,                0.72416,                0.75999,                0.51061,                0.98462,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                0.84902,                0.66382,                 1.0828,                0.86502,                0.83058,                0.89486,                0.72924,                0.75429,                0.49238,                0.97534,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                0.80261,                 0.6173,                 1.0515,                0.87136,                0.82345,                0.89394,                0.73707,                0.73859,                0.47691,                0.96362,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                0.80622,                0.60306,                  1.059,                0.92075,                0.81103,                 0.9015,                0.74483,                0.72344,                0.47891,                0.95339,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                0.78841,                0.62018,                 1.0711,                0.90408,                0.83011,                0.91044,                0.75543,                0.72206,                0.48041,                 0.9516,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                0.78423,                0.58621,                 1.0378,                0.90345,                0.84502,                0.91332,                 0.7653,                0.71624,                0.46089,                0.94926,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                0.77829,                0.60757,                 1.0366,                0.90275,                0.85779,                 0.9191,                0.76389,                0.71511,                0.45715,                0.94427,             0.00010074,             0.00010074,             0.00010074
                     13,                0.77954,                0.59393,                 1.0431,                0.89717,                0.85047,                0.91916,                0.76408,                0.70257,                0.45629,                 0.9384,             0.00010486,             0.00010486,             0.00010486
                     14,                0.78109,                0.58245,                 1.0249,                0.90608,                0.84367,                0.92366,                0.77583,                0.69139,                 0.4453,                0.92936,             0.00010368,             0.00010368,             0.00010368
                     15,                 0.7672,                0.58375,                  1.029,                 0.8914,                0.86658,                0.91832,                0.76825,                0.68735,                0.44051,                0.92659,             0.00010251,             0.00010251,             0.00010251
                     16,                0.76301,                0.55869,                 1.0071,                0.89736,                0.87024,                 0.9215,                0.77813,                0.67666,                0.44294,                0.92543,             0.00010133,             0.00010133,             0.00010133
                     17,                0.75303,                0.56478,                 1.0276,                 0.8815,                0.87856,                0.92867,                0.79114,                0.66399,                 0.4217,                0.92207,             0.00010015,             0.00010015,             0.00010015
                     18,                0.75712,                  0.552,                 1.0014,                0.91004,                0.87954,                0.93378,                0.78583,                0.65725,                0.40089,                0.91851,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                0.73226,                0.53641,                0.98998,                0.91102,                0.88455,                0.93249,                0.78633,                0.65628,                0.39706,                0.91172,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                0.68026,                0.51473,                 1.0029,                0.91514,                0.87748,                0.93495,                0.78865,                0.63983,                0.39169,                0.90478,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                0.68715,                  0.538,                0.99585,                0.92532,                0.88494,                0.93728,                0.79552,                0.63239,                0.38137,                0.89886,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                0.75809,                0.57561,                 1.0595,                0.93716,                0.87605,                0.93929,                 0.8038,                0.63172,                0.37585,                0.89591,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                0.67641,                0.49887,                 1.0146,                0.93408,                0.88299,                 0.9387,                0.80837,                0.61906,                0.36572,                0.89756,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.70117,                 0.5088,                 1.0032,                0.93334,                0.88044,                0.94191,                0.80429,                0.61022,                0.36167,                0.89727,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                0.68172,                0.50406,                0.99139,                0.92703,                0.87704,                0.94009,                0.80657,                0.60614,                0.35951,                0.89333,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.67403,                 0.5065,                0.99903,                0.88299,                0.90284,                0.93662,                0.81128,                0.59953,                0.36166,                0.88943,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.67991,                0.48387,                0.99406,                0.92444,                 0.8699,                0.93563,                0.81204,                0.59383,                0.36646,                0.88666,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                0.65777,                0.46903,                 0.9767,                 0.9463,                0.86695,                 0.9379,                0.81094,                0.59266,                0.36684,                0.88561,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                0.67798,                0.48944,                0.99681,                0.93169,                0.88626,                0.94356,                0.81271,                0.58817,                0.36283,                0.88233,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                0.65558,                0.48597,                0.98778,                0.94776,                0.87836,                 0.9451,                0.82052,                0.57536,                0.35572,                0.87799,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                0.63063,                0.47126,                0.97461,                0.93639,                0.88775,                0.94808,                0.82614,                 0.5657,                0.35183,                0.87933,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                0.65588,                0.47302,                0.97849,                0.94376,                0.89229,                0.95026,                0.82991,                0.55507,                 0.3426,                0.87489,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.67091,                0.50033,                 0.9874,                0.94017,                0.89796,                0.94702,                0.82866,                0.55287,                0.33708,                 0.8723,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.64813,                0.47108,                0.97013,                0.92863,                0.90634,                0.95026,                0.82783,                0.55185,                0.33555,                0.86929,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.62163,                0.46251,                0.97858,                0.92105,                0.90629,                 0.9553,                0.83246,                0.54306,                0.33422,                0.86445,             7.8945e-05,             7.8945e-05,             7.8945e-05
